Timeline,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS 7_FBTG H,Low Q Chance For: 1,D1,L2,5:5,Direkt,Geblockt,Micha Strohl,,Standart,0.1,,
MS 7_FBTG H,Low Q Chance For: 2,D1,L2,5:5,Gezogen,Neben Tor,Matteo Steiner,Micha Strohl,Auslösung,0.2,,
MS 7_FBTG H,Low Q Chance For: 3,D1,L2,5:5,Gezogen,Geblockt,Nick Pfister,,Konter,0.1,,
MS 7_FBTG H,Low Q Chance For: 4,D1,L3,5:5,Gezogen,Neben Tor,Jan Ewald,Elias Lunnestad,Auslösung,0.2,,
MS 7_FBTG H,Low Q Chance For: 5,D2,L1,5:5,Direkt,Neben Tor,Simon Steiner,Kevin Kropf,Festsetzen,0.2,,
MS 7_FBTG H,Low Q Chance For: 6,D1,L2,5:5,Gezogen,Geblockt,Janis Lauber,Luca Fankhauser,Auslösung,0.1,,
MS 7_FBTG H,Low Q Chance For: 7,D2,L2,5:5,Gezogen,Geblockt,Matteo Steiner,,Nachsetzen,0.1,,
MS 7_FBTG H,Low Q Chance For: 8,D2,L1,5:5,Gezogen,Neben Tor,Simon Steiner,Gustav Svensson,Festsetzen,0.1,,
MS 7_FBTG H,Low Q Chance For: 9,D2,L1,5:5,Handgelenk,Auf Tor,Kevin Kropf,Schwarz Janis,Konter,0.2,,
MS 7_FBTG H,Low Q Chance For: 10,D2,L2,5:5,Gezogen,Neben Tor,Matteo Steiner,,Standart,0.2,,
MS 7_FBTG H,Low Q Chance For: 11,D2,L2,5:5,Handgelenk,Auf Tor,Luca Fankhauser,,Auslösung,0.2,,
MS 7_FBTG H,Low Q Chance For: 12,D3,L2,5:5,Handgelenk,Geblockt,Nick Pfister,,Auslösung,0.2,,
MS 7_FBTG H,Low Q Chance For: 13,D3,L2,5:5,Gezogen,Auf Tor,Luca Steiner,Luca Fankhauser,Festsetzen,0.2,,
MS 7_FBTG H,Low Q Chance For: 14,D3,L1,5:5,Gezogen,Geblockt,Kevin Kropf,Gustav Svensson,Auslösung,0.2,,
MS 7_FBTG H,Low Q Chance For: 15,D3,L1,5:5,Direkt,Geblockt,Kevin Kropf,Steiner Simon,Festsetzen,0.1,,
MS 7_FBTG H,Low Q Chance For: 16,D3,L1,5:5,Handgelenk,Neben Tor,Christian Stucki,Steiner Simon,Nachsetzen,0.3,,
MS 7_FBTG H,Low Q Chance For: 17,D3,L2,5:5,Handgelenk,Geblockt,Luca Fankhauser,Matteo Steiner,Auslösung,0.1,,
MS 7_FBTG H,Low Q Chance For: 18,D3,L2,5:5,Volley,Neben Tor,Jan Ewald,,Konter,0.1,,
MS 7_FBTG H,Pot + Chance Against: 1,D2,L1,5:5,Direkt,,,,Auslösung,0.2,,
MS 7_FBTG H,Pot + Chance Against: 2,D2,L1,5:5,Direkt,,,,Festsetzen,0.3,,
MS 7_FBTG H,Pot + Chance Against: 3,D2,L1,5:5,Direkt,,,,Konter,0.3,,
MS 7_FBTG H,Tor Gegner: 1,D2,L2,5:5,Gezogen,,,,Auslösung,0.2,,
MS 7_FBTG H,Tor Gegner: 2,D2,L3,5:5,Direkt,,,,Nachsetzen,0.3,,
MS 7_FBTG H,Tor Gegner: 3,D3,L1,5:5,Volley,,,,Konter,0.2,,
MS 7_FBTG H,Tor Gegner: 4,D3,L1,5:5,Direkt,,,,Konter,0.3,,
MS 7_FBTG H,Tor Gegner: 5,D3,L2,5:5,Direkt,,,,Auslösung,0.2,,
MS 7_FBTG H,Mid Q Chance Against: 1,D2,L1,5:5,Volley,Neben Tor,,,Nachsetzen,0.3,,
MS 7_FBTG H,Mid Q Chance Against: 2,D2,L1,5:5,Direkt,Auf Tor,,,Standart,0.3,,
